x,y
0.624791,0.726732
0.622936,0.351987
0.375829,0.612647
0.432689,0.565078
0.650214,0.647161
0.679142,0.702657
0.533284,0.434097
0.619479,0.536464
0.698008,0.891866
0.204175,0.716925
0.453565,0.393364
0.376539,0.406938
0.808425,0.722715
0.374875,0.621711
0.364267,0.714856
0.713640,0.492679
0.371480,0.424963
0.776512,0.487473
0.683817,0.718355
0.518769,0.763921
0.543196,0.604212
0.397841,0.636178
0.542939,0.770051
0.576963,0.747605
0.733181,0.575744
0.470937,0.792742
0.620161,0.616144
0.483672,0.452727
0.657372,0.682022
0.468971,0.601809
0.569587,0.858957
0.445372,0.638062
0.596924,0.707073
0.651494,0.582309
0.504858,0.552552
0.498680,0.588957
0.613419,0.623525
0.416822,0.731773
0.468427,0.875056
0.644722,0.489916
0.532568,0.630911
0.400680,0.418027
0.764024,0.437839
0.671684,0.793191
0.562591,0.728391
0.606139,0.642150
0.432038,0.519552
0.545519,0.581164
0.725244,0.648429
0.646080,0.738453
0.561441,0.750980
0.699010,0.645355
0.614677,0.497997
0.757172,0.557473
0.792680,0.482734
0.705582,0.671096
0.771453,0.688911
0.666250,0.712622
0.593144,0.602789
0.683112,0.875522
0.596908,0.650177
0.535298,0.444181
0.492489,0.429471
0.659852,0.757391
0.655517,0.631765
0.550995,0.694503
0.559611,0.594969
0.413370,0.552909
0.659782,0.702386
0.594785,0.671114
0.481216,0.910781
0.509139,0.652994
0.431637,0.656731
0.599929,0.624069
0.578064,0.469775
0.508534,0.572421
0.576329,0.480098
0.454221,0.733312
0.287139,0.558638
0.401784,0.557446
0.489409,0.441850
0.423685,0.461853
0.642703,0.420336
0.451648,0.680024
0.409590,0.731427
0.474373,0.673088
0.378444,0.684730
0.551291,0.621105
0.562842,0.715177
0.786094,0.464230
0.695684,0.516003
0.504389,0.717597
0.636160,0.526305
0.497817,0.448362
0.383267,0.571941
0.549542,0.515079
0.624902,0.608788
0.722303,0.495109
0.578416,0.846349
0.766772,0.743610
0.580834,0.478595
0.407880,0.734548
0.545764,0.463894
0.576454,0.739231
0.469818,0.738133
0.641025,0.490574
0.585761,0.709856
0.643833,0.635562
0.502926,0.819357
0.605764,0.631984
0.595391,0.667881
0.541702,0.561737
0.500197,0.546435
0.625955,0.715521
0.610506,0.701617
0.676420,0.780782
0.688464,0.679900
0.560042,0.584727
0.618948,0.704710
0.538751,0.646971
0.528747,0.746064
0.569606,0.791362
0.670146,0.615222
0.520278,0.834244
0.472860,0.457602
0.679834,0.703116
0.735053,0.435696
0.556235,0.618580
0.686772,0.566516
0.502783,0.646051
0.527560,0.592420
0.776000,0.578845
0.575148,0.587680
0.451673,0.641417
0.642149,0.665415
0.403937,0.653620
0.509516,0.715182
0.557806,0.523659
0.506429,0.595580
0.733058,0.705423
0.525139,0.719266
0.663162,0.674225
0.367055,0.648775
0.660232,0.587490
0.647061,0.665218
0.672990,0.377896
0.471073,0.675538
0.733472,0.661801
0.453264,0.895955
0.656479,0.617860
0.535319,0.620390
0.636218,0.665058
0.435847,0.745958
0.571584,0.732922
0.521484,0.464310
0.611462,0.781385
0.446254,0.595300
0.739911,0.525324
0.442895,0.304999
0.523187,0.735580
0.448586,0.641137
0.809937,0.730896
0.575871,0.555436
0.631736,0.524472
0.483237,0.683297
0.511521,0.559581
0.507997,0.792594
0.599178,0.566182
0.406817,0.480920
0.448850,0.640994
0.701871,0.678493
0.485519,0.599956
0.573847,0.547025
0.848850,0.978435
0.713645,0.730193
0.493610,0.526797
0.387710,0.772674
0.842763,0.526974
0.519761,0.764597
0.758814,0.837149
0.642282,0.657455
0.580174,0.657158
0.544121,0.797589
0.593916,0.670549
0.558506,0.600353
0.556556,0.442151
0.478696,0.344188
